"Liubov";509
"Liudmila";210
"Liudmyla";1153
"Liv";21584
"Liva";683
"Live";3969
"Livia";358
"Liz";274
"Liza";257
"Lone";1535
"Lorena";215
"Lotta";816
"Lotte";2321
"Louisa";233
"Louise";2330
"Lovise";938
"Lucia";412
"Lucie";204
"Lucy";393
"Luna";1760
"Lydia";916
"Lykke";1326
"Ma";366
"Madeleine";2219
"Madelen";2149
"Madelene";268
"Madina";221
"Magda";293
"Magdalena";1855
"Magna";.
"Magnhild";2002
"Magni";325
"Magny";319
"Maha";202
"Mai";2032
"Mai-Britt";.
"Maia";1212
"Maiken";2630
"Maj";729
"Maja";6629
"Malak";281
"Malena";301
"Malene";2800
"Malgorzata";1223
"Mali";1010
"Malika";243
"Malin";10152
"Manuela";211
"Maren";6807
"Margaret";959
"Margareth";960
"Margarita";318
"Margit";1951
"Margot";761
"Margrete";1190
"Margrethe";2622
"Margun";261
"Margunn";652
"Marharyta";253
"Mari";11803
"Mari-Ann";.
"Maria";20795
"Mariam";1116
"Marian";508
"Mariana";462
"Mariann";3142
"Marianna";231
"Marianne";17533
"Marie";12858
"Mariel";355
"Mariell";1260
"Marielle";975
"Mariia";1325
"Marija";504
"Marika";213
"Marina";1624
"Marion";1953
"Marit";22964
"Marita";4460
"Marlen";503
"Marlene";1130
"Marry";214
"Marta";2884
"Marte";8337
"Martha";2001
"Marthe";5457
"Marthine";301
"Martina";570
"Martine";7721
"Martyna";445
"Marwa";351
"Mary";3407
"Mary-Ann";.
"Maryam";1162
"Maryan";301
"Maryna";882
"Marzena";337
"Mathea";2880
"Mathilda";277
"Mathilde";5851
"Matilda";552
"Matilde";1639
"Maud";550
"May";11230
"May-Britt";.
"May-Liss";.
"Maya";2062
"Maylen";201
"Medina";276
"Melanie";394
"Melina";672
"Melinda";268
"Melisa";225
"Melissa";1267
"Merete";5034
"Merethe";2422
"Mette";9551
"Mia";8421
"Michaela";250
"Michelle";2515
"Mie";2420
"Mihaela";248
"Mikaela";219
"Mila";791
"Milana";410
"Mildrid";537
"Milena";591
"Milica";200
"Milla";1341
"Mille";2794
"Millie";335
"Mimmi";.
"Mina";4756
"Mira";1239
"Miranda";234
"Miriam";3241
"Mirjam";485
"Molly";516
"Mona";12531
"Monica";11775
"Monika";4120
"Muna";356
"My";396
"Møyfrid";290
"Målfrid";1508
"Nada";313
"Nadia";1495
"Nadiia";607
"Nadine";324
"Nadja";290
"Naima";289
"Najma";228
"Nancy";840
"Nanna";636
"Naomi";772
"Nasrin";201
"Natalia";2906
"Natalie";2177
"Nataliia";1799
"Nataliya";216
"Natasha";318
"Nathalie";2250
"Nelia";350
"Nellie";311
"Nelly";1084
"Ngoc";317
"Nicole";736
"Nicoline";806
"Nikola";274
"Nikoline";827
"Nina";18371
"Ninni";336
"Noelle";328
"Noor";638
"Nora";12895
"Norah";510
"Norma";208
"Norunn";781
"Nour";387
"Nova";586
"Oda";6879
"Oddbjørg";1180
"Oddfrid";.
"Oddlaug";461
"Oddny";1412
"Oddrun";1333
"Oddveig";1009
"Oksana";1383
"Olaug";2207
"Olava";384
"Olea";575
"Oleksandra";713
"Olena";2555
"Olga";2488
"Olha";1540
"Oline";2348
"Olivia";5252
"Oliwia";444
"Othelie";273
"Othilie";652
"Otilie";288
"Pamela";226
"Patricia";635
"Patrycja";618
"Paula";994
"Paulina";1019
"Pauline";559
"Peggy";281
"Pernille";4627
"Petra";1286
"Phuong";229
"Pia";3809
"Polina";564
"Rabia";255
"Rachel";677
"Ragna";1144
"Ragne";287
"Ragnhild";11333
"Ragni";238
"Rahel";239
"Rahma";256
"Rakel";1635
"Ramona";496
"Rana";242
"Randi";14322
"Rania";283
"Rannveig";1024
"Ranveig";1175
"Rasa";354
"Rebecca";2456
"Rebecka";348
"Rebekka";2157
"Regina";437
"Regine";899
"Reidun";7847
"Reidunn";447
"Renata";774
"Renate";4097
"Renathe";300
"Renee";292
"Rigmor";2899
"Rikke";3057
"Rina";276
"Rita";6560
"Ronja";2726
"Rosa";411
"Rose";709
"Ruby";236
"Runa";1208
"Rut";340
"Ruta";318
"Ruth";5775
"Rønnaug";664
"Saba";318
"Sabina";383
"Sabine";339
"Sabrina";562
"Sadia";310
"Safa";232
"Safia";252
"Saga";1674
"Sahar";277
"Sahra";370
"Saima";218
"Sally";204
"Salma";544
"Samantha";354
"Samira";669
"Sana";412
"Sandra";6331
"Sanja";225
"Sanna";1939
"Sanne";963
"Sara";11994
"Sarah";4593
"Savannah";251
"Selam";244
"Selina";525
"Seline";291
"Selma";5491
"Senait";272
"Serina";293
"Serine";429
"Sharon";211
"Sheila";208
"Shirin";228
"Sidra";343
"Sidsel";2068
"Sienna";614
"Sigfrid";277
"Signe";5843
"Signy";563
"Sigrid";7334
"Sigrun";2247
"Sigrunn";679
"Siham";253
"Silja";613
"Silje";15826
"Silvia";592
"Simona";519
"Simone";527
"Sina";678
"Sine";222
"Siren";1051
"Siri";8416
"Siril";366
"Sissel";9638
"Siv";7543
"Siw";2309
"Snefrid";346
"Sofia";4923
"Sofie";10144
"Sofiia";895
"Sofija";266
"Sol";739
"Solbjørg";1150
"Solfrid";3371
"Solgunn";285
"Solrun";355
"Solveig";14135
"Solvor";462
"Solvår";413
"Sonia";562
"Sonja";4602
"Sophia";1560
"Sophie";1486
"Stella";1702
"Stephanie";555
"Stina";1517
"Stine";11108
"Sumaya";296
"Sunniva";4718
"Susan";695
"Susann";790
"Susanna";404
"Susanne";4269
"Suzanne";352
"Svanhild";1754
"Svetlana";767
"Svitlana";1551
"Syeda";243
"Sylvi";1113
"Sylvia";1057
"Sylwia";679
"Synne";4417
"Synnøve";5505
"Synøve";458
"Sølvi";3445
"Tale";673
"Tamara";669
"Tania";204
"Tanja";1409
"Tanya";323
"Tara";631
"Tatiana";740
"Tatjana";421
"Tea";500
"Teresa";472
"Terese";711
"Tetiana";2277
"Thale";1243
"Thanh";251
"Thea";11961
"Thelma";625
"Theresa";311
"Therese";6234
"Thi";1381
"Thilde";277
"Thora";312
"Thordis";.
"Thu";227
"Thuy";292
"Tia";382
"Tilde";1272
"Tilla";257
"Tina";5383
"Tine";2249
"Tiril";5139
"Tirill";288
"Tomine";1566
"Tone";14844
"Tonje";6821
"Tora";1791
"Torbjørg";778
"Tordis";1316
"Torgunn";500
"Torhild";2424
"Tori";203
"Toril";3907
"Torild";1709
"Torill";6159
"Torun";603
"Torunn";4136
"Tove";13644
"Trine";9947
"Trine-Lise";.
"Trude";4938
"Turi";387
"Turid";9433
"Tuva";6416
"Tyra";474
"Ulla";783
"Ulrikke";751
"Una";851
"Une";231
"Unn";1382
"Unni";8368
"Urszula";267
"Vaida";212
